Activity,Weight,Floorspace
Agriculture,1,Agriculture and Mining Space
Agriculture,1,Spaced Rural Residential Economy
Owner-Occupied Dwellings Management and Maintenance Activity,1,Spaced Rural Residential Economy
Owner-Occupied Dwellings Management and Maintenance Activity,1,Spaced Rural Residential Luxury
Owner-Occupied Dwellings Management and Maintenance Activity,1,Single Family Detached Residential Economy
Owner-Occupied Dwellings Management and Maintenance Activity,1,Single Family Detached Residential Luxury
Owner-Occupied Dwellings Management and Maintenance Activity,1,Single Family Attached Residential Economy
Owner-Occupied Dwellings Management and Maintenance Activity,1,Single Family Attached Residential Luxury
Owner-Occupied Dwellings Management and Maintenance Activity,1,Multi-Family Residential Economy
Owner-Occupied Dwellings Management and Maintenance Activity,1,Multi-Family Residential Luxury
Owner-Occupied Dwellings Management and Maintenance Activity,1,Mobile Home Residential
Owner-Occupied Dwellings Management and Maintenance Activity,1,Military Residential (Non GQ)
