ZoneName,ZoneNumber,External
PECAS ZUM 1,1,false
PECAS ZUM 2,2,false
PECAS ZUM 3,3,false
PECAS ZUM 4,4,false
PECAS ZUM 5,5,false
PECAS ZUM 6,6,false
PECAS ZUM 7,7,false
PECAS ZUM 8,8,false
PECAS ZUM 9,9,false
PECAS ZUM 10,10,false
PECAS ZUM 11,11,false
PECAS ZUM 12,12,false
PECAS ZUM 13,13,false
PECAS ZUM 14,14,false
PECAS ZUM 15,15,false
PECAS ZUM 16,16,false
PECAS ZUM 17,17,false
PECAS ZUM 18,18,false
PECAS ZUM 19,19,false
PECAS ZUM 20,20,false
PECAS ZUM 21,21,false
PECAS ZUM 22,22,false
PECAS ZUM 23,23,false
PECAS ZUM 24,24,false
PECAS ZUM 25,25,false
PECAS ZUM 26,26,false
PECAS ZUM 27,27,false
PECAS ZUM 28,28,false
PECAS ZUM 29,29,false
PECAS ZUM 30,30,false
PECAS ZUM 31,31,false
PECAS ZUM 32,32,false
PECAS ZUM 33,33,false
PECAS ZUM 34,34,false
PECAS ZUM 35,35,false
PECAS ZUM 36,36,false
PECAS ZUM 37,37,false
PECAS ZUM 38,38,false
PECAS ZUM 39,39,false
PECAS ZUM 40,40,false
PECAS ZUM 41,41,false
PECAS ZUM 42,42,false
PECAS ZUM 43,43,false
PECAS ZUM 44,44,false
PECAS ZUM 45,45,false
PECAS ZUM 46,46,false
PECAS ZUM 47,47,false
PECAS ZUM 48,48,false
PECAS ZUM 49,49,false
PECAS ZUM 50,50,false
PECAS ZUM 51,51,false
PECAS ZUM 52,52,false
PECAS ZUM 53,53,false
PECAS ZUM 54,54,false
PECAS ZUM 55,55,false
PECAS ZUM 56,56,false
PECAS ZUM 57,57,false
PECAS ZUM 58,58,false
PECAS ZUM 59,59,false
PECAS ZUM 60,60,false
PECAS ZUM 61,61,false
PECAS ZUM 62,62,false
PECAS ZUM 63,63,false
PECAS ZUM 64,64,false
PECAS ZUM 65,65,false
PECAS ZUM 66,66,false
PECAS ZUM 67,67,false
PECAS ZUM 68,68,false
PECAS ZUM 69,69,false
PECAS ZUM 70,70,false
PECAS ZUM 71,71,false
PECAS ZUM 72,72,false
PECAS ZUM 73,73,false
PECAS ZUM 74,74,false
PECAS ZUM 75,75,false
PECAS ZUM 76,76,false
PECAS ZUM 77,77,false
PECAS ZUM 78,78,false
PECAS ZUM 79,79,false
PECAS ZUM 80,80,false
PECAS ZUM 81,81,false
PECAS ZUM 82,82,false
PECAS ZUM 83,83,false
PECAS ZUM 84,84,false
PECAS ZUM 85,85,false
PECAS ZUM 86,86,false
PECAS ZUM 87,87,false
PECAS ZUM 88,88,false
PECAS ZUM 89,89,false
PECAS ZUM 90,90,false
PECAS ZUM 91,91,false
PECAS ZUM 92,92,false
PECAS ZUM 93,93,false
PECAS ZUM 94,94,false
PECAS ZUM 95,95,false
PECAS ZUM 96,96,false
PECAS ZUM 97,97,false
PECAS ZUM 98,98,false
PECAS ZUM 99,99,false
PECAS ZUM 100,100,false
PECAS ZUM 101,101,false
PECAS ZUM 102,102,false
PECAS ZUM 103,103,false
PECAS ZUM 104,104,false
PECAS ZUM 105,105,false
PECAS ZUM 106,106,false
PECAS ZUM 107,107,false
PECAS ZUM 108,108,false
PECAS ZUM 109,109,false
PECAS ZUM 110,110,false
PECAS ZUM 111,111,false
PECAS ZUM 112,112,false
PECAS ZUM 113,113,false
PECAS ZUM 114,114,false
PECAS ZUM 115,115,false
PECAS ZUM 116,116,false
PECAS ZUM 117,117,false
PECAS ZUM 118,118,false
PECAS ZUM 119,119,false
PECAS ZUM 120,120,false
PECAS ZUM 121,121,false
PECAS ZUM 122,122,false
PECAS ZUM 123,123,false
PECAS ZUM 124,124,false
PECAS ZUM 125,125,false
PECAS ZUM 126,126,false
PECAS ZUM 127,127,false
PECAS ZUM 128,128,false
PECAS ZUM 129,129,false
PECAS ZUM 130,130,false
PECAS ZUM 131,131,false
PECAS ZUM 132,132,false
PECAS ZUM 133,133,false
PECAS ZUM 134,134,false
PECAS ZUM 135,135,false
PECAS ZUM 136,136,false
PECAS ZUM 137,137,false
PECAS ZUM 138,138,false
PECAS ZUM 139,139,false
PECAS ZUM 140,140,false
PECAS ZUM 141,141,false
PECAS ZUM 142,142,false
PECAS ZUM 143,143,false
PECAS ZUM 144,144,false
PECAS ZUM 145,145,false
PECAS ZUM 146,146,false
PECAS ZUM 147,147,false
PECAS ZUM 148,148,false
PECAS ZUM 149,149,false
PECAS ZUM 150,150,false
PECAS ZUM 151,151,false
PECAS ZUM 152,152,false
PECAS ZUM 153,153,false
PECAS ZUM 154,154,false
PECAS ZUM 155,155,false
PECAS ZUM 156,156,false
PECAS ZUM 157,157,false
PECAS ZUM 158,158,false
PECAS ZUM 159,159,false
PECAS ZUM 160,160,false
PECAS ZUM 161,161,false
PECAS ZUM 162,162,false
PECAS ZUM 163,163,false
PECAS ZUM 164,164,false
PECAS ZUM 165,165,false
PECAS ZUM 166,166,false
PECAS ZUM 167,167,false
PECAS ZUM 168,168,false
PECAS ZUM 169,169,false
PECAS ZUM 170,170,false
PECAS ZUM 171,171,false
PECAS ZUM 172,172,false
PECAS ZUM 173,173,false
PECAS ZUM 174,174,false
PECAS ZUM 175,175,false
PECAS ZUM 176,176,false
PECAS ZUM 177,177,false
PECAS ZUM 178,178,false
PECAS ZUM 179,179,false
PECAS ZUM 180,180,false
PECAS ZUM 181,181,false
PECAS ZUM 182,182,false
PECAS ZUM 183,183,false
PECAS ZUM 184,184,false
PECAS ZUM 185,185,false
PECAS ZUM 186,186,false
PECAS ZUM 187,187,false
PECAS ZUM 188,188,false
PECAS ZUM 189,189,false
PECAS ZUM 190,190,false
PECAS ZUM 191,191,false
PECAS ZUM 192,192,false
PECAS ZUM 193,193,false
PECAS ZUM 194,194,false
PECAS ZUM 195,195,false
PECAS ZUM 196,196,false
PECAS ZUM 197,197,false
PECAS ZUM 198,198,false
PECAS ZUM 199,199,false
PECAS ZUM 200,200,false
PECAS ZUM 201,201,false
PECAS ZUM 202,202,false
PECAS ZUM 203,203,false
PECAS ZUM 204,204,false
PECAS ZUM 205,205,false
PECAS ZUM 206,206,false
PECAS ZUM 207,207,false
PECAS ZUM 208,208,false
PECAS ZUM 209,209,false
PECAS ZUM 210,210,false
PECAS ZUM 211,211,false
PECAS ZUM 212,212,false
PECAS ZUM 213,213,false
PECAS ZUM 214,214,false
PECAS ZUM 215,215,false
PECAS ZUM 216,216,false
PECAS ZUM 217,217,false
PECAS ZUM 218,218,false
PECAS ZUM 219,219,false
PECAS ZUM 220,220,false
PECAS ZUM 221,221,false
PECAS ZUM 222,222,false
PECAS ZUM 223,223,false
PECAS ZUM 224,224,false
PECAS ZUM 225,225,false
PECAS ZUM 226,226,false
PECAS ZUM 227,227,false
PECAS ZUM 228,228,false
PECAS ZUM 229,229,false
Southern California (Los Angeles),230,true
Northern California (San Francisco),231,true
Rest of US (Kansas City),232,true
Canada (Calgary),233,true
Mexico (Rosarito),234,true
China (Shanghai),235,true
Rest of world (New Delhi),236,true
